SourceRepoName,SourceLink,ProjectName,VerControlToolName,BugsTrackerLink,BugsTrackerToolName
GitHub,https://github.com/codebutler/firesheep.git,firesheep,Git,https://github.com/codebutler/firesheep/issues,Git
GitHub,https://github.com/zeromq/libzmq.git,libzmq,Git,https://github.com/zeromq/libzmq/issues,Git
GitHub,https://github.com/philsquared/Catch.git,Catch,Git,https://github.com/philsquared/Catch/issues,Git
GitHub,https://github.com/ValveSoftware/ToGL.git,ToGL,Git,https://github.com/ValveSoftware/ToGL/issues,Git
GitHub,https://github.com/id-Software/DOOM-3-BFG.git,DOOM-3-BFG,Git,https://github.com/id-Software/DOOM-3-BFG/issues,Git
GitHub,https://github.com/google/leveldb.git,leveldb,Git,https://github.com/google/leveldb/issues,Git
GitHub,https://github.com/antimatter15/ocrad.js.git,ocrad.js,Git,https://github.com/antimatter15/ocrad.js/issues,Git
GitHub,https://github.com/trevorlinton/webkit.js.git,webkit.js,Git,https://github.com/trevorlinton/webkit.js/issues,Git
GitHub,https://github.com/hrydgard/ppsspp.git,ppsspp,Git,https://github.com/hrydgard/ppsspp/issues,Git
GitHub,https://github.com/torvalds/linux.git,linux,Git,https://github.com/torvalds/linux/issues,Git
GitHub,https://github.com/antirez/redis.git,redis,Git,https://github.com/antirez/redis/issues,Git
GitHub,https://github.com/git/git.git,git,Git,https://github.com/git/git/issues,Git
GitHub,https://github.com/kripken/emscripten.git,emscripten,Git,https://github.com/kripken/emscripten/issues,Git
GitHub,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System.git,How-to-Make-a-Computer-Operating-System,Git,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/issues,Git
GitHub,https://github.com/irungentoo/toxcore.git,toxcore,Git,https://github.com/irungentoo/toxcore/issues,Git
GitHub,https://github.com/julycoding/The-Art-Of-Programming-By-July.git,The-Art-Of-Programming-By-July,Git,https://github.com/julycoding/The-Art-Of-Programming-By-July/issues,Git
GitHub,https://github.com/php/php-src.git,php-src,Git,https://github.com/php/php-src/issues,Git
GitHub,https://github.com/ggreer/the_silver_searcher.git,the_silver_searcher,Git,https://github.com/ggreer/the_silver_searcher/issues,Git
